Wed, 31 Aug 11 12:29:46 -0500: [INFO       (         __construct)] - Base SimHost Site Controller Loaded
Wed, 31 Aug 11 12:29:46 -0500: [INFO       (         __construct)] - splash Controller Loaded
Wed, 31 Aug 11 12:29:46 -0500: [INFO       (               index)] - Entering index
Wed, 31 Aug 11 12:29:46 -0500: [DEBUG      (               index)] - UUID: Null
Wed, 31 Aug 11 12:29:46 -0500: [INFO       (         __construct)] - Feeds Model Loaded
Wed, 31 Aug 11 12:29:46 -0500: [DEBUG      (               index)] - isLoggedIn() == FALSE
Wed, 31 Aug 11 12:29:46 -0500: [DEBUG      (             include)] - webstats partial view loaded
Wed, 31 Aug 11 12:29:46 -0500: [DEBUG      (             include)] - header partial view loaded
Wed, 31 Aug 11 12:29:46 -0500: [DEBUG      (             include)] - interface partial view loaded
Wed, 31 Aug 11 12:33:50 -0500: [INFO       (         __construct)] - Base SimHost Site Controller Loaded
Wed, 31 Aug 11 12:33:50 -0500: [INFO       (         __construct)] - splash Controller Loaded
Wed, 31 Aug 11 12:33:50 -0500: [INFO       (               index)] - Entering index
Wed, 31 Aug 11 12:33:50 -0500: [DEBUG      (               index)] - UUID: Null
Wed, 31 Aug 11 12:33:50 -0500: [INFO       (         __construct)] - Feeds Model Loaded
Wed, 31 Aug 11 12:33:50 -0500: [DEBUG      (               index)] - isLoggedIn() == FALSE
Wed, 31 Aug 11 12:33:50 -0500: [DEBUG      (             include)] - webstats partial view loaded
Wed, 31 Aug 11 12:33:50 -0500: [DEBUG      (             include)] - header partial view loaded
Wed, 31 Aug 11 12:33:50 -0500: [DEBUG      (             include)] - interface partial view loaded
Wed, 31 Aug 11 12:45:42 -0500: [INFO       (         __construct)] - Base SimHost Site Controller Loaded
Wed, 31 Aug 11 12:45:42 -0500: [INFO       (         __construct)] - splash Controller Loaded
Wed, 31 Aug 11 12:45:42 -0500: [INFO       (               index)] - Entering index
Wed, 31 Aug 11 12:45:42 -0500: [DEBUG      (               index)] - UUID: Null
Wed, 31 Aug 11 12:45:42 -0500: [INFO       (         __construct)] - Feeds Model Loaded
Wed, 31 Aug 11 12:45:42 -0500: [DEBUG      (               index)] - isLoggedIn() == FALSE
Wed, 31 Aug 11 12:45:42 -0500: [DEBUG      (             include)] - webstats partial view loaded
Wed, 31 Aug 11 12:45:42 -0500: [DEBUG      (             include)] - header partial view loaded
Wed, 31 Aug 11 12:45:42 -0500: [DEBUG      (             include)] - interface partial view loaded
Wed, 31 Aug 11 12:46:54 -0500: [INFO       (         __construct)] - Base SimHost Site Controller Loaded
Wed, 31 Aug 11 12:46:54 -0500: [INFO       (         __construct)] - splash Controller Loaded
Wed, 31 Aug 11 12:46:54 -0500: [INFO       (               index)] - Entering index
Wed, 31 Aug 11 12:46:54 -0500: [DEBUG      (               index)] - UUID: Null
Wed, 31 Aug 11 12:46:54 -0500: [INFO       (         __construct)] - Feeds Model Loaded
Wed, 31 Aug 11 12:46:54 -0500: [DEBUG      (               index)] - isLoggedIn() == FALSE
Wed, 31 Aug 11 12:46:54 -0500: [DEBUG      (             include)] - webstats partial view loaded
Wed, 31 Aug 11 12:46:54 -0500: [DEBUG      (             include)] - header partial view loaded
Wed, 31 Aug 11 12:46:54 -0500: [DEBUG      (             include)] - interface partial view loaded
Wed, 31 Aug 11 12:46:54 -0500: [DEBUG      (             include)] - control partial view loaded
Wed, 31 Aug 11 12:46:54 -0500: [DEBUG      (             include)] - feeds partial view loaded
Wed, 31 Aug 11 12:46:54 -0500: [DEBUG      (             include)] - footer partial view loaded
Wed, 31 Aug 11 12:46:54 -0500: [DEBUG      (             include)] - splash_message_mod view loaded
Wed, 31 Aug 11 12:46:54 -0500: [DEBUG      (             include)] - UUID: Null
Wed, 31 Aug 11 12:50:09 -0500: [INFO       (         __construct)] - Base SimHost Site Controller Loaded
Wed, 31 Aug 11 12:50:09 -0500: [INFO       (         __construct)] - Auth Controller Loaded
Wed, 31 Aug 11 12:50:09 -0500: [INFO       (               login)] - Entering Auth/login
Wed, 31 Aug 11 12:51:16 -0500: [INFO       (         __construct)] - Base SimHost Site Controller Loaded
Wed, 31 Aug 11 12:51:16 -0500: [INFO       (         __construct)] - Auth Controller Loaded
Wed, 31 Aug 11 12:51:16 -0500: [INFO       (               login)] - Entering Auth/login
Wed, 31 Aug 11 12:51:34 -0500: [INFO       (         __construct)] - Base SimHost Site Controller Loaded
Wed, 31 Aug 11 12:51:34 -0500: [INFO       (         __construct)] - Auth Controller Loaded
Wed, 31 Aug 11 12:51:34 -0500: [INFO       (              logout)] - Entering Auth/logout
Wed, 31 Aug 11 12:51:34 -0500: [INFO       (              logout)] - Logout user:  @
Wed, 31 Aug 11 12:51:34 -0500: [INFO       (         __construct)] - Base SimHost Site Controller Loaded
Wed, 31 Aug 11 12:51:34 -0500: [INFO       (         __construct)] - splash Controller Loaded
Wed, 31 Aug 11 12:51:34 -0500: [INFO       (               index)] - Entering index
Wed, 31 Aug 11 12:51:34 -0500: [DEBUG      (               index)] - UUID: Null
Wed, 31 Aug 11 12:51:34 -0500: [INFO       (         __construct)] - Feeds Model Loaded
Wed, 31 Aug 11 12:51:34 -0500: [DEBUG      (               index)] - isLoggedIn() == FALSE
Wed, 31 Aug 11 12:51:34 -0500: [DEBUG      (             include)] - webstats partial view loaded
Wed, 31 Aug 11 12:51:34 -0500: [DEBUG      (             include)] - header partial view loaded
Wed, 31 Aug 11 12:51:34 -0500: [DEBUG      (             include)] - interface partial view loaded
Wed, 31 Aug 11 12:51:34 -0500: [DEBUG      (             include)] - control partial view loaded
Wed, 31 Aug 11 12:51:34 -0500: [DEBUG      (             include)] - feeds partial view loaded
Wed, 31 Aug 11 12:51:34 -0500: [DEBUG      (             include)] - footer partial view loaded
Wed, 31 Aug 11 12:51:34 -0500: [DEBUG      (             include)] - splash_message_mod view loaded
Wed, 31 Aug 11 12:51:34 -0500: [DEBUG      (             include)] - UUID: Null
Wed, 31 Aug 11 12:51:40 -0500: [INFO       (         __construct)] - Base SimHost Site Controller Loaded
Wed, 31 Aug 11 12:51:40 -0500: [INFO       (         __construct)] - Auth Controller Loaded
Wed, 31 Aug 11 12:51:40 -0500: [INFO       (               login)] - Entering Auth/login
Wed, 31 Aug 11 12:53:43 -0500: [INFO       (         __construct)] - Base SimHost Site Controller Loaded
Wed, 31 Aug 11 12:53:43 -0500: [INFO       (         __construct)] - Auth Controller Loaded
